ID,CITY,STATE,COUNTY,LOCATION
6aca4ab9ac7a41772e7569115141a4c5d21893e8,SnVuZWF1LCBBSw==,2.0,2110.0,"{
  ""lat"": 58.3019444,
  ""lon"": -134.4197221
}"
4ab149d66c97349f89e337ccd79675dbfa104c14,QXVidXJuIEhpbGxzLCBNSQ==,26.0,26125.0,"{
  ""lat"": 42.6875323,
  ""lon"": -83.2341028
}"
e6d3154c556b7965b0f2ce69b3367532aca371f6,UmVzdG9uLCBWQQ==,51.0,51059.0,"{
  ""lat"": 38.9586307,
  ""lon"": -77.3570028
}"
e68a72d999879ef6969e57be84023c6243716bdc,W1Vua25vd24gQ2l0eV0sIE9L,40.0,40999.0,"{
  ""lat"": 0,
  ""lon"": 0
}"
ac41c015f1fe80dfd81654d4e13f818c524ec66e,TG91aXN2aWxsZSwgQ08=,8.0,8013.0,"{
  ""lat"": 39.977763,
  ""lon"": -105.1319296
}"
851e00080060af7b4307b5b547eed0a8f796547c,RHVyaGFtLCBOQw==,37.0,37063.0,"{
  ""lat"": 35.9940329,
  ""lon"": -78.898619
}"
5661068da421ce3ebd3fb523271219fbbff3645f,RmFpcmZheCwgVkE=,51.0,51600.0,"{
  ""lat"": 38.8462236,
  ""lon"": -77.3063733
}"
34b786e2a1b7c36e38a98309dcb2c1cb42d10485,W1Vua25vd24gQ2l0eV0sIFND,45.0,45999.0,"{
  ""lat"": 0,
  ""lon"": 0
}"
298766194b99f00599fbbc88a00538f804ff83ca,RGVhcmJvcm4sIE1J,26.0,26163.0,"{
  ""lat"": 42.3222599,
  ""lon"": -83.1763145
}"
2725b337958d2ca49d99a8768741e6090bc6a74d,RnJlc25vLCBDQQ==,6.0,6019.0,"{
  ""lat"": 36.7377981,
  ""lon"": -119.7871247
}"
3b1bae8a2e9dc43fb46f6d805b03819cdd0110ec,U2FpbnQgUGV0ZXJzYnVyZywgRkw=,12.0,12103.0,"{
  ""lat"": 27.7676008,
  ""lon"": -82.6402915
}"
2c3bc47b0e56ae0c8dea9fb1383022399257c17f,U2FpbnQgUGV0ZXJzYnVyZywgRkw=,12.0,12103.0,"{
  ""lat"": 27.7676008,
  ""lon"": -82.6402915
}"
0fc8901dfe115ad673f4fa0053b5f8119af51459,T3JsYW5kbywgRkw=,12.0,12095.0,"{
  ""lat"": 28.5383355,
  ""lon"": -81.3792365
}"
eb2ee8dcf0d19180dce72b303c10bdbe4cf7f6bc,Rm9ydCBXb3J0aCwgVFg=,48.0,48439.0,"{
  ""lat"": 32.7554883,
  ""lon"": -97.3307658
}"
fdc078d0a0795d513862fc4819936e43a2acdb59,SmFja3NvbiwgTVM=,28.0,28049.0,"{
  ""lat"": 32.2987573,
  ""lon"": -90.1848103
}"
12034f6f1c177fc29d355ab6ba11cbcb5eead79b,Q29uY29yZCwgTkM=,37.0,37025.0,"{
  ""lat"": 35.4087517,
  ""lon"": -80.579511
}"
180bec7e120efe7266f6e9cd7c06147ff0cb5598,T3JsYW5kbywgRkw=,12.0,12095.0,"{
  ""lat"": 28.5383355,
  ""lon"": -81.3792365
}"
2df85983457d7ea030ccac81ab074267eee6bf59,U2FudGEgQ2xhcmEsIENB,6.0,6085.0,"{
  ""lat"": 37.3541079,
  ""lon"": -121.9552356
}"
f5a81d7b351206c97cfbd97bebd13d0680a48e76,U2FjcmFtZW50bywgQ0E=,6.0,6067.0,"{
  ""lat"": 38.5815719,
  ""lon"": -121.4943996
}"
4860a5c3078160998e3cc6a61735533bd03bd20f,VGFtcGEsIEZM,12.0,12057.0,"{
  ""lat"": 27.950575,
  ""lon"": -82.4571776
}"
02bdfabc02e9cbfdf2aaa6308e042dd12d3313fa,W1Vua25vd24gQ2l0eV0sIFdB,53.0,53999.0,"{
  ""lat"": 0,
  ""lon"": 0
}"
09e9b622302e6de33ca804466b5d071271995c66,U2VhdHRsZSwgV0E=,53.0,53033.0,"{
  ""lat"": 47.6062095,
  ""lon"": -122.3320708
}"
2bff663e6ac93c6cab32d6e434485abee3cedaa5,SXJ2aW5nLCBUWA==,48.0,48113.0,"{
  ""lat"": 32.8140177,
  ""lon"": -96.9488945
}"
7de9b641a91f3fce2c7df6f88d5daa3d2cc1f47f,RGF5dG9uLCBPSA==,39.0,39113.0,"{
  ""lat"": 39.7589478,
  ""lon"": -84.1916069
}"
9b45e5a35e56cf5a5b726f6bfcfce4df9f89b6f2,SmFja3NvbiwgTVM=,28.0,28049.0,"{
  ""lat"": 32.2987573,
  ""lon"": -90.1848103
}"
54256a8f831ac1ae5e5bc93ba5aedb851363c82f,W1Vua25vd24gQ2l0eV0sIE9I,39.0,39999.0,"{
  ""lat"": 0,
  ""lon"": 0
}"
e5ef9b82d9cfb875bca44a149e99a397220cdad1,Um91bmQgUm9jaywgVFg=,48.0,48491.0,"{
  ""lat"": 30.5082551,
  ""lon"": -97.678896
}"
cb54c1beddc25de89dba5761d6dec433a0191166,Q2luY2lubmF0aSwgT0g=,39.0,39061.0,"{
  ""lat"": 39.1031182,
  ""lon"": -84.5120196
}"
b2a7d51138e4e04c0f6fdd5e50255b26a0cd27b3,U2FudGEgQ2xhcmEsIENB,6.0,6085.0,"{
  ""lat"": 37.3541079,
  ""lon"": -121.9552356
}"
f85ce937906aaf71565643366a8698cf1475d2e1,W1Vua25vd24gQ2l0eV0sIFJJ,44.0,44999.0,"{
  ""lat"": 0,
  ""lon"": 0
}"
7bf4ed88b147e25e3ab9b403dd43598de09f200f,V2lsbWluZ3RvbiwgREU=,10.0,10003.0,"{
  ""lat"": 39.744655,
  ""lon"": -75.5483909
}"
3863261922b94d096031269f5135d74f35fd9a38,TG9zIEFuZ2VsZXMsIENB,6.0,6037.0,"{
  ""lat"": 34.0522342,
  ""lon"": -118.2436849
}"
4bbb5b0c14be9cad8cae8fd545fdc5975abca2ac,RGVhcmJvcm4sIE1J,26.0,26163.0,"{
  ""lat"": 42.3222599,
  ""lon"": -83.1763145
}"
4c5ca905be40c448ecb5323bccee48b73ec2e77d,W1Vua25vd24gQ2l0eV0sIE1P,29.0,29999.0,"{
  ""lat"": 0,
  ""lon"": 0
}"
331796b54f499d24a08b74e7503cbd551f4a97bb,U2FuIEZyYW5jaXNjbywgQ0E=,6.0,6075.0,"{
  ""lat"": 37.7749295,
  ""lon"": -122.4194155
}"
e827b7e0a459c5e8b527f822e712b6d30191fbb4,UmVkbW9uZCwgV0E=,53.0,53033.0,"{
  ""lat"": 47.6739881,
  ""lon"": -122.121512
}"
63403ebe0144dff4bb1686bb60cb4b16cb1e1102,TmV3IEJydW5zd2ljaywgTko=,34.0,34023.0,"{
  ""lat"": 40.4862157,
  ""lon"": -74.4518188
}"
06d6f7a2c9e32d55ef167e6fd4cf0ba891436840,QXRsYW50YSwgR0E=,13.0,13121.0,"{
  ""lat"": 33.7489954,
  ""lon"": -84.3879824
}"
3acf6273fd84d2f0bee6335f14917e287811d761,RGVudmVyLCBDTw==,8.0,8031.0,"{
  ""lat"": 39.7392358,
  ""lon"": -104.990251
}"
35d421d20c59b9c664d38f461ed5700b05714fb2,Q2hhcmxvdHRlLCBOQw==,37.0,37119.0,"{
  ""lat"": 35.2270869,
  ""lon"": -80.8431267
}"
d804dc98ab009a351348fab7553e2a2c878b3b61,U2FjcmFtZW50bywgQ0E=,6.0,6067.0,"{
  ""lat"": 38.5815719,
  ""lon"": -121.4943996
}"
2cad2fc54e32e9b79b48e05e471374e5591a0e2b,QXJsaW5ndG9uLCBWQQ==,51.0,51013.0,"{
  ""lat"": 38.8799697,
  ""lon"": -77.1067698
}"
0180b1cda39b3d25b2a93b7a2a84de109201d45c,RGF5dG9uLCBPSA==,39.0,39113.0,"{
  ""lat"": 39.7589478,
  ""lon"": -84.1916069
}"
657745fd7622f015ee8dd497e2abc80672adda1f,T2FrbGFuZCwgQ0E=,6.0,6001.0,"{
  ""lat"": 37.8043514,
  ""lon"": -122.2711639
}"
6cffe22622c53f251e701d5f1924163169c009fa,QW5jaG9yYWdlLCBBSw==,2.0,2020.0,"{
  ""lat"": 61.2180556,
  ""lon"": -149.9002778
}"
d5e6df7199e2908e4d131074f1b8f70aba37d324,RXZhbnN0b24sIElM,17.0,17031.0,"{
  ""lat"": 42.0450722,
  ""lon"": -87.6876969
}"
26be65ac617325e66215e8f9114cb9707ce6614f,W1Vua25vd24gQ2l0eV0sIElM,17.0,17999.0,"{
  ""lat"": 0,
  ""lon"": 0
}"
